full_name,age,country,rating,club,foot,position,value,wage,reputation
L. Messi,33,Argentina,93,FC Barcelona,Left,RW,103500000,560000,5
Cristiano Ronaldo,35,Portugal,92,Juventus,Right,ST,63000000,220000,5
J. Oblak,27,Slovenia,91,Atlético Madrid,Right,GK,120000000,125000,3
K. De Bruyne,29,Belgium,91,Manchester City,Right,CAM,129000000,370000,4
Neymar Jr,28,Brazil,91,Paris Saint-Germain,Right,LW,132000000,270000,5
R. Lewandowski,31,Poland,91,FC Bayern München,Right,ST,111000000,240000,4
K. Mbappé,21,France,90,Paris Saint-Germain,Right,ST,185500000,160000,3
Alisson,27,Brazil,90,Liverpool,Right,GK,102000000,160000,3
M. Salah,28,Egypt,90,Liverpool,Left,RW,120500000,250000,3
S. Mané,28,Senegal,90,Liverpool,Right,LW,120500000,250000,3
V. van Dijk,28,Netherlands,90,Liverpool,Right,CB,113000000,210000,3
M. ter Stegen,28,Germany,90,FC Barcelona,Right,GK,110000000,260000,3
Casemiro,28,Brazil,89,Real Madrid,Right,CDM,90500000,310000,3
T. Courtois,28,Belgium,89,Real Madrid,Left,GK,82000000,250000,4
M. Neuer,34,Germany,89,FC Bayern München,Right,GK,17500000,130000,5
K. Benzema,32,France,89,Real Madrid,Right,CF,83500000,350000,4
Sergio Ramos,34,Spain,89,Real Madrid,Right,CB,33500000,300000,4
S. Agüero,32,Argentina,89,Manchester City,Right,ST,83500000,300000,4
N. Kanté,29,France,88,Chelsea,Right,CDM,78000000,190000,3
J. Kimmich,25,Germany,88,FC Bayern München,Right,CDM,103000000,145000,3
P. Dybala,26,Argentina,88,Juventus,Left,CAM,109000000,190000,3
Ederson,26,Brazil,88,Manchester City,Left,GK,92000000,195000,2
R. Sterling,25,England,88,Manchester City,Right,LW,114500000,270000,3
H. Kane,26,England,88,Tottenham Hotspur,Right,ST,109000000,220000,3
K. Koulibaly,29,Senegal,88,Napoli,Right,CB,76500000,140000,3
H. Son,27,Korea Republic,88,Tottenham Hotspur,Right,LM,97500000,200000,3
E. Hazard,29,Belgium,88,Real Madrid,Right,LW,89500000,350000,4
T. Kroos,30,Germany,88,Real Madrid,Right,CM,87500000,310000,4
S. Handanovič,35,Slovenia,88,Inter,Right,GK,10000000,100000,3
J. Sancho,20,England,87,Borussia Dortmund,Right,CAM,124000000,82000,3
T. Alexander-Arnold,21,England,87,Liverpool,Right,RB,114000000,110000,2
Bernardo Silva,25,Portugal,87,Manchester City,Left,RW,95000000,230000,2
A. Robertson,26,Scotland,87,Liverpool,Left,LB,90500000,155000,3
A. Laporte,26,France,87,Manchester City,Left,CB,92500000,200000,2
